"안전비상벨관리번호",설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
82000001,01,99,천왕산생태터널 내 보행로,,서울특별시 구로구 항동 71-1,37.485263,126.829652,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
82000001,01,99,석촌지하보차도 내 보행로,,서울특별시 송파구 석촌동 205,37.504015,127.103919,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 동부도로사업소,02-2040-0368,2018-08-01
82000001,01,99,잠수교북단지하보차도 내 보행로,,서울특별시 용산구 서빙고동 186,37.519769,126.994045,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 서부도로사업소,02-300-8394,2018-08-01
82000001,01,99,증산지하보차도 내 보행로,,서울특별시 은평구 증산동 220-1~성산동488,37.576440,126.901750,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 서부도로사업소,02-300-8394,2018-08-01
82000001,01,99,연희지하보차도 내 보행로,,서울특별시 서대문구 연희동170-15,37.576305,126.935463,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 서부도로사업소,02-300-8394,2018-08-01
82000001,01,99,영등포지하보차도 내 보행로,,서울특별시 영등포구 영등포동 585,37.516584,126.912393,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 남부도로사업소,02-3284-5456,2018-08-01
82000001,01,99,대방지하보차도 내 보행로,,서울특별시 영등포구 신길동 1367,37.512842,126.925592,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 남부도로사업소,02-3284-5456,2018-08-01
82000001,01,99,잠수교남측지하보차도 내 보행로,,서울특별시 서초구 반포동 274~반포동 137,37.510137,126.998632,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 남부도로사업소,02-3284-5456,2018-08-01
82000001,01,99,방학지하차도 내 보행로,,서울특별시 도봉구 방학동 709~710,37.662674,127.044633,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 북부도로사업소,02-944-5470,2018-08-01
82000001,01,99,월계지하차도 내 보행로,,서울특별시 노원구 월계동 303-3,37.630227,127.059053,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 북부도로사업소,02-944-5470,2018-08-01
82000001,01,99,창동지하차도 내 보행로,,서울특별시 도봉구 창동 75-9,37.651645,127.048255,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 북부도로사업소,02-944-5470,2018-08-01
82000001,01,99,녹천지하차도 내 보행로,,서울특별시 도봉구 창동 산163-6,37.645768,127.050655,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 북부도로사업소,02-944-5470,2018-08-01
82000001,01,99,능산길 지하보차도 내 보행로,,서울특별시 중랑구 신내동 418-8,37.604881,127.100725,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 성동도로사업소,02-2210-1547,2018-08-01
82000001,01,99,답십리굴다리지하보차도 내 보행로,,서울특별시 동대문구 전농동 588-1,37.577061,127.045442,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 성동도로사업소,02-2210-1547,2018-08-01
82000001,01,99,군자교동측지하차도 내 보행로,,서울특별시 광진구 중곡동 263-1,37.559552,127.073840,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 성동도로사업소,02-2210-1547,2018-08-01
82000001,01,99,신내지하보차도 내 보행로,,서울특별시 중랑구 신내동 516-5,37.601056,127.096599,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 성동도로사업소,02-2210-1547,2018-08-01
82000001,01,99,마장지하보차도 내 보행로,,서울특별시 성동구 마장동 294,37.565880,127.037442,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 성동도로사업소,02-2210-1547,2018-08-01
82000001,01,99,구로역지하차도 내 보행로,,서울특별시 구로구 구로5동 585,37.501596,126.881358,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
82000001,01,99,가마산지하보차도 내 보행로,,서울특별시 구로구 구로동 699,37.488232,126.880449,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
82000001,01,99,신도림지하보차도 내 보행로,,서울특별시 구로구 구로5동3-72,37.505957,126.886280,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
82000001,01,99,목동교서측지하보차도 내 보행로,,서울특별시 양천구 목7동 목동교연장,37.531056,126.886899,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
82000001,01,99,오목교서측지하보차도 내 보행로,,서울특별시 양천구 목1동 409-74,37.524541,126.877480,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
82000001,01,99,서울교접속남단지하보차도 내 보행로,,서울특별시 영등포구 영등포2가94-32,37.520063,126.914185,03,Y,N,Y,경고등 + 경보음 + CCTV,2017,2018-08-01,Y,서울특별시 강서도로사업소,02-2657-7961,2018-08-01
